priority,prospect,segment,offer_to_test,wave,status,owner,contact_url_or_source,contact_name,contact_email,last_touch,next_touch,notes
1,Oakwood Management Company,Apartment/property management,"Apartment Spotlight; Area Sponsor",1,ready_to_verify,CREN sales,https://www.liveoakwood.com/blog/2026/04/06/best-property-management-companies-in-columbus-ohio/,,,,,"Verify decision maker before sending."
2,CASTO,"Developer; property manager; mixed-use","Development Spotlight; Area Sponsor; Event Sponsor",1,ready_to_verify,CREN sales,https://castoinfo.com/,,,,,"Strong first-wave development sponsor fit."
3,Thrive Companies,Developer/property manager,"Development Tracker Sponsor; Apartment Spotlight",1,ready_to_verify,CREN sales,https://thrivecos.com/,,,,,"Personalize around neighborhood-scale projects."
4,Crawford Hoying,Developer/property manager,"Development Spotlight; Report Sponsor",1,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Verify current Columbus project/contact."
5,The Champion Companies,Multifamily investment/management,"Apartment Spotlight; Service Guide Sponsor",1,ready_to_verify,CREN sales,https://thechampioncompanies.com/,,,,,"Good multifamily owner/operator fit."
6,Village Green,Apartment manager,"Apartment Spotlight; Rental Guide Sponsor",1,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Verify Columbus portfolio contact."
7,Towne Properties,Apartment/property management,"Apartment Spotlight; Profile Claim",1,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Profile claim angle."
8,Morgan Properties,Apartment owner/manager,"Apartment Spotlight; Renter Lead Package",1,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Use conservative lead language."
9,Dietz Property Group,Apartment manager,"Apartment Spotlight; Profile Claim",1,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Verify local property list."
10,Elford Asset Management,Apartment manager,"Profile Claim; Apartment Spotlight",1,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Verify profile owner."
11,Woda Cooper Companies,Affordable/workforce housing,"Sponsored Housing Guide; Apartment Profile",2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Use fair-housing-sensitive copy."
12,Harbor Group Management,Apartment manager,"Apartment Spotlight; Rental Guide Sponsor",2,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Verify Columbus community contact."
13,IRT Living,Apartment manager,"Apartment Spotlight; Area Sponsor",2,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Verify Columbus portfolio."
14,Cortland,Apartment manager,"Apartment Spotlight; Renter Guide Sponsor",2,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"National apartment brand; use local angle."
15,T&R Properties,Apartment/property management,"Apartment Spotlight; Profile Claim",2,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Verify contact path."
16,DRK and Company Realty,Apartment/property management,"Profile Claim; Rental Guide Sponsor",2,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Profile update offer."
